Symbol,Name,Market Cap,P/E,EPS,Net Income,Beta,Dividend,Div Yield,Extended Hr Last Price,Extended Hr Change ,%Chg (Ext),Time,Last Price,Change,%Chg,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg,Sector,ISIN,Volume
CHD,Church & Dwight Company,24878308000,32.31,3.16,755600000,0.53,1.101,1.08%,102,0,0.00%,4/5/2024,102,-0.1,-0.10%,80% Buy,49.69%,13.54%,1233685,82.25,105.67,15.23,7.87%,0.09%,8.66%,13.70%,Consumer Non-Durables,US1713401024,1.075?M
CHRW,C.H. Robinson Ww,8327633000,22.26,3.22,325130000,0.72,2.44,3.43%,71.18,0,0.00%,4/5/2024,71.18,-0.5,-0.70%,100% Sell,40.23%,25.43%,1868990,69.11,106.14,-28.6,-17.61%,2.20%,-19.65%,-23.61%,Transportation,US12541W2098,1.035?M
CHTR,Charter Communications Inc,38846236000,9.03,30.02,4557000000,0.96,N/A,0.00%,267.49,0,0.00%,4/5/2024,267.49,-3.74,-1.38%,100% Sell,33.85%,27.39%,1433785,264.92,458.3,-32.1,-31.18%,-4.76%,-28.13%,-24.25%,Consumer Services,US16119P1084,1.725?M
CI,The Cigna Group,1.06E+11,14.36,25.1,5164000000,0.56,5.09,1.40%,362.45,0,0.00%,4/5/2024,362.45,2.08,0.58%,100% Buy,70.01%,8.94%,1440020,240.5,365.71,44.78,21.04%,8.93%,15.58%,36.32%,Health Services,US1255231003,992.542?K
CINF,Cincinnati Financial,19037930000,19.91,6.04,1843000000,0.63,3.06,2.52%,121.52,0,0.00%,4/5/2024,121.52,1.24,1.03%,100% Buy,61.04%,17.39%,1231420,95.01,124.35,20.13,17.46%,8.54%,13.19%,9.20%,Finance,US1720621010,424.039?K
CL,Colgate-Palmolive Company,72236128000,27.06,3.23,2300000000,0.42,1.92,2.18%,87.88,0,0.00%,4/5/2024,87.88,0.48,0.55%,80% Buy,54.56%,10.00%,3690580,67.62,90.37,19.87,10.25%,1.33%,9.88%,16.61%,Consumer Non-Durables,US1941621039,3.48?M
CLX,Clorox Company,18112030000,25.14,5.83,149000000,0.43,4.78,3.28%,145.92,-0.02,-0.01%,4/5/2024,145.94,-0.61,-0.42%,24% Buy,42.94%,23.85%,1217825,114.68,178.21,-6.28,2.35%,-2.64%,3.29%,-7.29%,Consumer Non-Durables,US1890541097,740.152?K
CMA,Comerica Inc,6974274000,6.85,7.7,881000000,1.27,2.84,5.40%,52.64,0,0.00%,4/5/2024,52.64,-0.12,-0.23%,100% Buy,52.41%,31.42%,2113480,28.4,57.39,24.4,-5.68%,1.74%,-6.85%,31.86%,Finance,US2003401070,1.229?M
CMCSA,Comcast Corp A,1.62E+11,10.36,3.97,15389000000,0.98,1.18,2.89%,40.95,0.05,0.12%,4/5/2024,40.9,-0.21,-0.51%,100% Sell,38.56%,17.22%,21333824,36.38,47.46,1.94,-6.73%,-2.76%,-4.97%,7.86%,Consumer Services,US20030N1019,22.833?M
CME,CME Group Inc,75987744000,22.72,9.34,3226200000,0.49,9.7,4.60%,211.08,0,0.00%,4/5/2024,211.08,-1.13,-0.53%,40% Buy,45.94%,15.38%,1583715,175.73,223.8,9.99,0.23%,-4.01%,5.97%,8.14%,Finance,US12572Q1058,1.163?M
CMG,Chipotle Mexican Grill,79669488000,63.65,44.87,1228740000,1.28,N/A,0.00%,2909.99,4.5701,0.16%,4/5/2024,2905.4199,49.3899,1.73%,100% Buy,66.32%,18.96%,268645,1664.71,3023.98,74.22,27.04%,7.16%,31.30%,71.17%,Consumer Services,US1696561059,204.153?K
CMI,Cummins Inc,41119328000,15.04,19.6,735000000,1.04,6.61,2.20%,300.67,0,0.00%,4/5/2024,300.67,5.92,2.01%,100% Buy,71.49%,25.38%,5833010,203.18,301.5,38.96,25.50%,10.81%,26.25%,36.45%,Producer Manufacturing,US2310211063,1.003?M
CMS,Cms Energy Corp,17513946000,19.06,3.11,887000000,0.38,1.978,3.37%,58.65,0,0.00%,4/5/2024,58.65,-0.62,-1.05%,88% Buy,50.11%,15.70%,2692245,49.87,63.76,-1.53,1.00%,-1.10%,-1.16%,-5.59%,Utilities,US1258961002,2.713?M
CNC,Centene Corp,38930456000,10.82,6.66,2702000000,0.38,N/A,0.00%,72.78,0,0.00%,4/5/2024,72.78,0.73,1.01%,8% Buy,39.16%,29.67%,3369225,60.83,81.42,6.11,-1.93%,-5.97%,-5.94%,10.62%,Health Services,US15135B1017,2.748?M
CNP,Centerpoint Energy Inc,17756518000,18.73,1.5,917000000,0.92,0.78,2.78%,28.05,0,0.00%,4/5/2024,28.05,-0.05,-0.18%,40% Sell,50.40%,16.95%,4699975,25.42,31.43,-6.22,-1.82%,0.57%,-4.07%,-7.70%,Utilities,US15189T1079,5.377?M
COF,Capital One Financial Corp,54593860000,11.35,12.52,4887000000,1.48,2.4,1.67%,143.52,0,0.00%,4/5/2024,143.52,1.39,0.98%,100% Buy,57.27%,25.26%,2330950,83.93,149.27,53.47,9.46%,4.33%,8.38%,51.33%,Finance,US14040H1059,1.567?M
COO,Cooper Companies,19597342000,29.82,3.33,294200000,0.94,0.007,0.01%,98.57,-0.03,-0.03%,4/5/2024,98.6,-0.56,-0.56%,80% Buy,49.68%,13.29%,1024180,75.93,104.07,9.1,4.22%,-2.78%,7.78%,5.57%,Health Technology,US2166485019,905.975?K
COP,Conocophillips,1.57E+11,15.01,8.78,10957000000,1.24,3.58,2.68%,133.79,0.27,0.20%,4/5/2024,133.52,1.77,1.34%,72% Buy,80.15%,13.05%,5629000,95.7,133.84,29.07,15.03%,20.05%,14.58%,23.92%,Energy Minerals,US20825C1045,3.595?M
COR,Cencora Inc,48518008000,19.27,12.56,1745290000,0.45,1.99,0.82%,243.22,0,0.00%,4/5/2024,243.22,1.18,0.49%,100% Buy,61.80%,10.91%,1016085,163.37,246.75,48.52,18.42%,3.36%,15.07%,45.33%,Distribution Services,US03073E1055,744.596?K
COST,Costco Wholesale,3.17E+11,45.53,15.48,6292000000,0.77,4.08,0.57%,713.72,0,0.00%,4/5/2024,713.72,8.84,1.25%,56% Buy,46.46%,32.05%,2431995,476.75,787.08,45.29,8.13%,-6.08%,8.80%,43.57%,Retail Trade,US22160K1051,1.553?M
CPAY,Corpay Inc,22107638000,19.34,15.76,981890000,1.23,N/A,0.00%,306.2,0,0.00%,4/5/2024,306.2,1.37,0.45%,100% Buy,58.02%,20.76%,434135,204.04,319.94,39.77,8.35%,9.12%,9.06%,47.59%,Commercial Services,US2199481068,241.323?K
CPB,Campbell Soup Company,12907860000,15.22,2.89,858000000,0.24,1.48,3.42%,43.31,0.01,0.02%,4/5/2024,43.3,-0.69,-1.57%,88% Buy,50.22%,21.65%,2682815,37.94,56.04,-15.91,0.16%,0.81%,-0.71%,-22.07%,Consumer Non-Durables,US1344291091,2.937?M
CPRT,Copart Inc,54372824000,40.69,1.37,1237740000,1.22,N/A,0.00%,56.5,-0.05,-0.09%,4/5/2024,56.55,0.81,1.45%,80% Buy,60.25%,16.56%,5063225,36.78,58.58,47.88,15.41%,4.99%,21.48%,51.45%,Retail Trade,US2172041061,3.388?M
CPT,Camden Property Trust,10516990000,14.06,3.7,403310000,0.83,4.03,4.17%,96.62,0,0.00%,4/5/2024,96.62,0.75,0.78%,24% Buy,49.53%,19.31%,1095145,82.81,114.04,-6.72,-2.69%,-0.07%,-1.60%,-6.64%,Finance,US1331311027,673.878?K
CRL,Charles River Laboratories Intl,13037435000,23.54,10.65,474620000,1.4,N/A,0.00%,253.1,0,0.00%,4/5/2024,253.1,2.44,0.97%,80% Buy,49.04%,22.89%,482655,161.65,275,30.19,7.06%,-3.13%,13.05%,29.30%,Commercial Services,US1598641074,529.945?K
CRM,Salesforce Inc,2.93E+11,47.6,6.18,4136000000,1.28,0.4,0.13%,301.8,-0.11,-0.04%,4/5/2024,301.91,7.77,2.64%,72% Buy,53.20%,22.53%,5049440,187.31,318.71,58.65,14.73%,1.06%,20.23%,54.58%,Technology Services,US79466L3024,4.918?M
CSCO,Cisco Systems Inc,1.97E+11,13.4,3.59,12613000000,0.87,1.57,3.23%,48.6,0.05,0.10%,4/5/2024,48.55,0.44,0.91%,100% Sell,43.39%,13.86%,19873471,45.56,58.19,-5.81,-3.90%,-0.82%,-3.07%,-6.31%,Technology Services,US17275R1023,18.661?M
CSGP,Costar Group Inc,38696752000,86.61,1.06,374700000,0.84,N/A,0.00%,94.75,0,0.00%,4/5/2024,94.75,2.94,3.20%,100% Buy,58.53%,35.31%,2419765,67.22,100.38,36.25,8.42%,8.47%,16.49%,39.85%,Technology Services,US22160N1090,1.726?M
CSX,CSX Corp,71060624000,19.63,1.84,3715000000,1.18,0.45,1.24%,36.3,0,0.00%,4/5/2024,36.3,0.18,0.50%,56% Buy,45.23%,16.97%,11105535,29.03,40.12,19.81,4.70%,-5.10%,4.85%,23.93%,Transportation,US1264081035,8.863?M
CTAS,Cintas Corp,68292632000,45.89,14.48,1348010000,1.27,5.2,0.77%,674.06,0.37,0.05%,4/5/2024,673.69,9.18,1.38%,100% Buy,64.62%,30.47%,414630,438.59,704.84,51.53,11.79%,7.72%,16.70%,49.13%,Consumer Services,US1729081059,348.963?K
CTLT,Catalent Inc,10256882000,0,-0.56,-256000000,1.2,N/A,0.00%,56.75,0,0.00%,4/5/2024,56.75,-0.21,-0.37%,88% Buy,58.08%,6.75%,1935265,31.45,67.54,49.03,26.31%,-0.37%,24.10%,-7.90%,Health Technology,US1488061029,1.099?M
CTRA,Coterra Energy Inc,21292308000,12.95,2.19,1625000000,0.21,0.81,2.86%,28.3,-0.02,-0.07%,4/5/2024,28.32,-0.04,-0.14%,56% Buy,68.10%,12.79%,7104515,22.91,29.89,12.75,10.97%,6.11%,10.37%,11.45%,Energy Minerals,US1270971039,9.925?M
CTSH,Cognizant Tech Sol,35411500000,15.74,4.55,2126000000,1.06,1.17,1.64%,71.13,0,0.00%,4/5/2024,71.13,-0.48,-0.67%,8% Sell,35.37%,16.56%,5556290,58.09,80.09,13.42,-5.83%,-8.55%,-2.35%,17.26%,Technology Services,US1924461023,5.176?M
CTVA,Corteva Inc,39731328000,21.25,2.68,735000000,0.77,0.63,1.11%,56.9,0.05,0.09%,4/5/2024,56.85,-0.1,-0.18%,88% Buy,62.54%,12.64%,3478745,43.22,63.37,-0.23,18.64%,5.39%,20.11%,-6.37%,Process Industries,US22052L1044,2.267?M
CVS,CVS Corp,93855200000,8.46,8.74,8344000000,0.52,2.48,3.33%,74.65,0.07,0.09%,4/5/2024,74.58,0.68,0.92%,40% Buy,44.29%,29.82%,8958955,64.41,83.25,1.66,-5.55%,1.18%,-8.40%,-4.08%,Retail Trade,US1266501006,6.367?M
CVX,Chevron Corp,3.00E+11,12.24,13.13,21369000000,1.12,6.16,3.81%,161.62,0.02,0.01%,4/5/2024,161.6,0.91,0.57%,56% Buy,66.94%,10.54%,8222425,139.62,172.88,-1.61,8.34%,8.03%,7.45%,-4.87%,Energy Minerals,US1667641005,7.433?M
CZR,Caesars Entertainment Inc,9281433000,46.52,0.91,786000000,2.81,N/A,0.00%,42.95,0.04,0.09%,4/5/2024,42.91,0.58,1.37%,64% Sell,51.54%,32.47%,2847885,38.33,60.27,-5.62,-8.47%,4.45%,-4.45%,-6.35%,Consumer Services,US12769G1004,2.279?M
D,Dominion Energy Inc,40681892000,18.86,2.58,1994000000,0.61,2.67,5.50%,48.5999,0.0299,0.06%,4/5/2024,48.57,-0.08,-0.16%,56% Buy,54.33%,22.62%,5821535,39.18,58.69,-10.9,3.34%,5.36%,-0.96%,-15.40%,Utilities,US25746U1097,3.826?M
DAL,Delta Air Lines Inc,29631502000,7.35,6.24,4609000000,1.43,0.3,0.65%,46,-0.06,-0.13%,4/5/2024,46.06,0.18,0.39%,88% Buy,60.59%,25.21%,9731775,30.6,49.81,37.52,14.49%,10.19%,13.62%,37.66%,Transportation,US2473617023,7.633?M
DAY,Dayforce Inc,9495504000,101.92,0.63,54800000,1.3,N/A,0.00%,61.04,0,0.00%,4/5/2024,61.04,-3.17,-4.94%,72% Sell,35.12%,30.08%,1355755,55.62,75.53,-13.4,-9.06%,-5.11%,-3.34%,-11.96%,Technology Services,US15677J1088,2.255?M
DD,Dupont Denemours Inc,31540044000,21.77,3.48,423000000,1.4,1.46,1.93%,74.94,-0.59,-0.78%,4/5/2024,75.53,-0.22,-0.29%,40% Buy,60.55%,13.25%,2194595,61.14,78.74,8.21,-1.82%,9.46%,-1.51%,7.35%,Process Industries,US26614N1028,2.222?M
DE,Deere & Company,1.15E+11,11.86,34.34,10166000000,1.04,5.54,1.34%,412.54,0,0.00%,4/5/2024,412.54,5.43,1.33%,56% Buy,68.24%,13.81%,1371360,345.55,450,8.98,3.17%,12.49%,4.19%,10.36%,Producer Manufacturing,US2441991054,994.476?K
DECK,Deckers Outdoor Corp,22585008000,31.58,27.8,516820000,1.01,N/A,0.00%,879.89,0,0.00%,4/5/2024,879.89,2.07,0.24%,72% Buy,48.79%,26.86%,655070,424.36,956.17,94.21,31.64%,-2.97%,34.89%,95.89%,Consumer Non-Durables,US2435371073,290.43?K
DFS,Discover Financial Services,31536112000,11.11,11.25,2940000000,1.45,2.8,2.22%,125.5,-0.36,-0.29%,4/5/2024,125.86,0.86,0.69%,100% Buy,57.29%,25.20%,1377380,79.04,131.65,33.13,11.98%,3.78%,12.53%,29.22%,Finance,US2547091080,976.174?K
DG,Dollar General Corp,35048512000,21.04,7.56,1661270000,0.42,2.36,1.48%,159.99,0.44,0.28%,4/5/2024,159.55,0.51,0.32%,88% Buy,61.49%,29.79%,2736780,101.09,222.99,-11.97,17.36%,3.04%,17.52%,-24.74%,Retail Trade,US2566771059,2.615?M
DGX,Quest Diagnostics Inc,14507245000,15.1,8.71,854000000,0.91,2.84,2.17%,130.63,0,0.00%,4/5/2024,130.63,-0.12,-0.09%,8% Sell,52.51%,16.05%,952770,119.59,148.62,-6.58,-5.26%,4.92%,-7.99%,-8.85%,Health Services,US74834L1008,691.495?K
DHI,D.R. Horton,52599632000,11.23,13.9,4745700000,1.64,1.1,0.69%,158,-0.52,-0.33%,4/5/2024,158.52,2.39,1.53%,100% Buy,55.73%,27.29%,2419805,94.22,165.75,60.7,4.30%,4.90%,6.65%,62.77%,Consumer Durables,US23331A1097,1.64?M
DHR,Danaher Corp,1.81E+11,28.39,8.52,4764000000,0.83,1.08,0.44%,244.28,0,0.00%,4/5/2024,244.28,2.38,0.98%,56% Buy,45.81%,14.97%,2575970,182.09,259,12.76,5.59%,-3.97%,6.07%,11.24%,Health Technology,US2358511028,2.281?M
DIS,Walt Disney Company,2.17E+11,29.27,4,2354000000,1.42,0.3,0.25%,118.36,-0.02,-0.02%,4/5/2024,118.38,1.29,1.10%,96% Buy,61.29%,20.58%,11603445,78.73,123.74,31.9,31.11%,4.88%,30.23%,18.49%,Consumer Services,US2546871060,9.654?M
DLR,Digital Realty Trust,44533124000,21.23,2.97,948840000,0.54,4.88,3.42%,142.6,0,0.00%,4/5/2024,142.6,2.72,1.94%,64% Buy,50.94%,21.35%,1884745,86.33,154.18,49.99,5.96%,-5.09%,9.00%,58.08%,Finance,US2538681030,1.14?M
DLTR,Dollar Tree Inc,28492560000,21.99,5.9,-998400000,0.9,N/A,0.00%,130.71,0,0.00%,4/5/2024,130.71,0.97,0.75%,8% Buy,44.23%,58.56%,4419970,102.77,161.1,-9.21,-7.98%,-12.32%,-4.09%,-12.10%,Retail Trade,US2567461080,4.409?M
DOC,Healthpeak Properties Inc,13219420000,10.3,0.56,306010000,1.02,1.2,6.44%,18.69,0.06,0.32%,4/5/2024,18.63,0.3,1.64%,8% Sell,58.40%,23.96%,6628265,15.24,22.38,-9.24,-5.91%,9.33%,-5.09%,-13.27%,Finance,US42250P1030,8.805?M
DOV,Dover Corp,24156198000,19.7,8.79,1056830000,1.27,2.035,1.16%,175.84,0,0.00%,4/5/2024,175.84,2.64,1.52%,100% Buy,61.94%,15.60%,978105,127.25,178.28,27.17,14.32%,5.12%,19.22%,23.06%,Producer Manufacturing,US2600031080,828.393?K
DOW,Dow Inc,41919872000,26.72,2.24,589000000,1.31,2.8,4.69%,59.34,-0.35,-0.59%,4/5/2024,59.69,-0.17,-0.28%,100% Buy,64.67%,15.40%,6008520,47.26,60.69,12.17,8.84%,4.76%,8.88%,9.24%,Process Industries,US2605571031,3.862?M
DPZ,Domino's Pizza Inc,17177658000,32.91,14.67,519120000,0.86,5.14,1.04%,493.2,0,0.00%,4/5/2024,493.2,10.34,2.14%,100% Buy,65.21%,26.91%,596045,285.84,508.44,57.06,19.64%,9.70%,23.29%,50.19%,Consumer Services,US25754A2015,696.398?K
DRI,Darden Restaurants,18661780000,17.97,8.82,981900000,1.25,5.14,3.29%,156.35,0,0.00%,4/5/2024,156.35,-2.16,-1.36%,8% Buy,35.66%,29.15%,1445130,133.36,176.84,0.64,-4.84%,-10.35%,-3.54%,2.15%,Consumer Services,US2371941053,1.468?M
DTE,Dte Energy Company,22575518000,19.12,5.73,1397000000,0.64,3.945,3.62%,109.1,0,0.00%,4/5/2024,109.1,-0.46,-0.42%,88% Buy,49.86%,18.78%,1259490,90.14,116.73,-1.16,-1.05%,-0.81%,-1.40%,-2.70%,Utilities,US2333311072,1.106?M
DUK,Duke Energy Corp,73990544000,17.29,5.56,2841000000,0.46,4.08,4.25%,95.91,0,0.00%,4/5/2024,95.91,-0.21,-0.22%,88% Buy,54.49%,12.57%,2781970,83.06,100.39,0.96,-1.16%,3.47%,-2.67%,-2.96%,Utilities,US26441C2044,2.525?M
DVA,Davita Healthcare Partners Inc,11717596000,15.87,8.38,691540000,1.04,N/A,0.00%,133.61,0,0.00%,4/5/2024,133.61,0.66,0.50%,88% Buy,56.80%,18.59%,813070,71.51,141.54,64.78,27.54%,-0.77%,24.59%,61.09%,Health Services,US23918K1088,474.736?K
DVN,Devon Energy Corp,33826448000,9.22,5.7,3747000000,2.19,2.42,4.54%,53.37,0.1,0.19%,4/5/2024,53.27,0.73,1.39%,56% Buy,80.78%,13.78%,7714465,40.47,56.19,5.48,17.59%,18.17%,15.96%,-0.49%,Energy Minerals,US25179M1036,7.669?M
DXCM,Dexcom Inc,53559600000,88.3,1.51,541500000,1.2,N/A,0.00%,138.9,-0.03,-0.02%,4/5/2024,138.93,5.59,4.19%,100% Buy,59.98%,33.85%,2665885,74.75,142,29.38,11.96%,14.08%,12.06%,23.14%,Health Technology,US2521311074,2.427?M
EA,Electronic Arts Inc,34833032000,23.05,5.62,802000000,0.76,0.76,0.58%,130.29,0,0.00%,4/5/2024,130.29,0.73,0.56%,40% Sell,39.06%,13.53%,2315895,117.47,144.53,0.81,-4.77%,-4.40%,-3.92%,3.28%,Technology Services,US2855121099,1.64?M
EBAY,Ebay Inc,26967080000,16.32,3.15,2767000000,1.33,1.02,1.96%,52.06,0,0.00%,4/5/2024,52.06,0.66,1.28%,100% Buy,63.58%,19.50%,6710950,37.17,52.93,27.01,19.35%,3.93%,21.66%,18.72%,Retail Trade,US2786421030,5.327?M
ECL,Ecolab Inc,65116456000,43.11,5.21,1372300000,1.1,2.2,0.97%,227.75,0,0.00%,4/5/2024,227.75,3.17,1.41%,96% Buy,59.36%,12.51%,1229490,156.72,231.86,42.32,14.82%,1.94%,16.65%,37.12%,Process Industries,US2788651006,1.45?M
ED,Consolidated Edison Company,30974972000,17.82,5.06,2519000000,0.35,3.26,3.64%,89.65,0,0.00%,4/5/2024,89.65,-0.54,-0.60%,32% Sell,51.12%,14.37%,1614820,80.46,100.92,-5.92,-1.45%,0.74%,-4.14%,-8.99%,Utilities,US2091151041,1.738?M
EFX,Equifax Inc,31821770000,37.56,6.71,545300000,1.51,1.56,0.61%,256.15,0,0.00%,4/5/2024,256.15,4.11,1.63%,56% Buy,48.51%,25.04%,683125,159.95,275.1,33.53,3.58%,-1.74%,8.07%,28.46%,Commercial Services,US2944291051,588.093?K
EG,Everest Re Group,16479081000,5.76,65.84,2517000000,0.56,6.9,1.82%,379.86,0,0.00%,4/5/2024,379.86,0.4,0.11%,40% Buy,48.80%,20.86%,330795,331.08,417.92,5.15,7.43%,3.52%,2.28%,4.64%,Finance,BMG3223R1088,251.914?K
EIX,Edison International,27243038000,14.67,4.76,1407000000,0.96,3.035,4.29%,70.95,0.13,0.18%,4/5/2024,70.82,0.97,1.39%,72% Buy,58.38%,14.53%,1654235,58.82,74.92,1.77,-0.94%,5.53%,-2.41%,-1.99%,Utilities,US2810201077,2.881?M
EL,Estee Lauder Companies,51774248000,94.32,1.53,1006000000,1.07,2.64,1.83%,144.43,0,0.00%,4/5/2024,144.43,0.12,0.08%,Hold,48.58%,40.60%,2369510,102.22,260.46,-35.16,-1.24%,-1.96%,5.19%,-39.68%,Consumer Non-Durables,US5184391044,1.442?M
ELV,Elevance Health Inc,1.18E+11,15.06,33.11,5987000000,0.78,6.07,1.20%,507.35,0,0.00%,4/5/2024,507.35,8.75,1.75%,72% Buy,51.27%,17.14%,902320,412,521.18,8.84,7.59%,1.81%,5.69%,4.68%,Health Services,US0367521038,1.006?M
EMN,Eastman Chemical Company,11740306000,15.57,6.4,894000000,1.54,3.2,3.21%,99.83,0,0.00%,4/5/2024,99.83,0.16,0.16%,100% Buy,68.28%,21.49%,1284460,68.89,102.71,28.57,11.14%,14.35%,11.93%,21.89%,Process Industries,US2774321002,614.864?K
EMR,Emerson Electric Company,65379432000,23.12,4.89,13219000000,1.37,2.09,1.82%,114.54,0,0.00%,4/5/2024,114.54,1.5,1.33%,100% Buy,72.49%,8.30%,2266075,76.94,114.93,38.35,17.68%,5.06%,19.97%,37.85%,Electronic Technology,US2910111044,1.694?M
ENPH,Enphase Energy Inc,15241662000,35.63,3.39,438940000,1.47,N/A,0.00%,112.2,-0.07,-0.06%,4/5/2024,112.27,-8.51,-7.05%,56% Sell,46.49%,62.75%,3515090,73.49,231.42,-37.51,-15.04%,-10.25%,-2.70%,-42.03%,Electronic Technology,US29355A1079,6.284?M
EOG,Eog Resources,78194864000,11.47,11.69,7594000000,1.4,4.885,3.59%,136.45,0.51,0.38%,4/5/2024,135.94,1.91,1.43%,40% Buy,75.95%,13.58%,3827675,106.32,136.79,17.23,12.39%,16.99%,12.93%,12.94%,Energy Minerals,US26875P1012,3.459?M
EPAM,Epam Systems Inc,15287141000,30.7,8.66,417080000,1.43,N/A,0.00%,264.36,0,0.00%,4/5/2024,264.36,-1.5,-0.56%,8% Sell,35.94%,24.69%,474215,197.99,317.5,-7.13,-11.09%,-13.75%,-8.48%,-6.43%,Technology Services,US29414B1044,289.404?K
EQIX,Equinix Inc,74221664000,24.32,10.31,969180000,0.58,15.34,1.96%,784.41,0,0.00%,4/5/2024,784.41,3.37,0.43%,8% Sell,37.62%,21.69%,820390,672.88,914.93,8.91,-2.60%,-12.41%,-0.50%,11.45%,Finance,US29444U7000,446.532?K
EQR,Equity Residential,23452640000,16.25,2.2,835440000,0.84,2.663,4.31%,61.79,0,0.00%,4/5/2024,61.79,0.53,0.87%,48% Buy,51.20%,19.82%,1761590,52.57,69.45,2.66,1.03%,-0.79%,1.80%,3.66%,Finance,US29476L1070,1.461?M
EQT,Eqt Corp,16066776000,15.91,2.31,1735230000,1.12,0.615,1.69%,36.11,-0.37,-1.01%,4/5/2024,36.48,-0.28,-0.76%,56% Sell,53.47%,34.60%,8918600,30.84,45.23,2.77,-5.64%,-3.97%,-5.76%,11.90%,Energy Minerals,US26884L1098,3.684?M
ES,Eversource Energy,20521036000,13.61,4.33,-442240000,0.58,2.74,4.68%,58.46,-0.05,-0.09%,4/5/2024,58.51,-0.41,-0.70%,16% Sell,50.66%,23.94%,2448100,52.03,81.36,-21.83,-5.20%,0.64%,-5.74%,-27.33%,Utilities,US30040W1080,1.426?M
ESS,Essex Property Trust,15260482000,15.7,6.31,405830000,0.8,9.38,3.95%,237.68,0,0.00%,4/5/2024,237.68,1.7,0.72%,88% Buy,49.81%,19.84%,313570,203.85,252.85,12.3,-4.14%,-2.11%,-2.42%,13.48%,Finance,US2971781057,170.204?K
ETN,Eaton Corp,1.32E+11,35.14,9.11,3218000000,1.07,3.52,1.07%,331.6,1.09,0.33%,4/5/2024,330.51,10.35,3.23%,100% Buy,77.01%,20.05%,2120500,155.38,331.47,111.66,37.24%,13.22%,40.73%,108.56%,Producer Manufacturing,IE00B8KQN827,2.644?M
ETR,Entergy Corp,22226318000,15.41,6.77,2362310000,0.71,4.4,4.22%,104.23,0,0.00%,4/5/2024,104.23,-0.09,-0.09%,100% Buy,56.23%,11.68%,1348345,87.1,111.9,0.83,3.00%,2.15%,0.28%,-5.73%,Utilities,US29364G1031,2.044?M
ETSY,Etsy Inc,7699610000,23.58,2.78,307570000,2.01,N/A,0.00%,64.79,-0.19,-0.29%,4/5/2024,64.98,-0.58,-0.88%,100% Sell,41.48%,36.22%,3351115,58.2,105.29,-34.66,-19.83%,-5.21%,-14.09%,-38.27%,Retail Trade,US29786A1060,2.596?M
EVRG,Evergy Inc,11992741000,14.84,3.55,731300000,0.57,2.51,4.81%,52.2,0,0.00%,4/5/2024,52.2,-0.48,-0.91%,8% Buy,54.16%,15.81%,2271985,46.92,63.93,-12.27,0.00%,3.67%,-2.79%,-17.34%,Utilities,US30034W1062,2.041?M
EW,Edwards Lifesciences Corp,55798632000,36.33,2.51,1402400000,1.05,N/A,0.00%,92.7,0,0.00%,4/5/2024,92.7,1.5,1.64%,80% Buy,56.92%,20.86%,3710020,60.57,96.12,18.3,21.57%,7.67%,27.25%,11.08%,Health Technology,US28176E1082,2.563?M
EXC,Exelon Corp,37322788000,15.64,2.38,2328000000,0.54,1.46,3.91%,37.34,0,0.00%,4/5/2024,37.34,0.12,0.32%,8% Sell,56.89%,13.05%,7101740,33.35,43.71,-9.9,4.01%,2.95%,2.84%,-13.02%,Utilities,US30161N1019,3.958?M
EXPD,Expeditors Intl,16649969000,23.23,5,752880000,0.99,1.38,1.18%,117.35,0,0.00%,4/5/2024,117.35,1.2,1.03%,56% Sell,42.99%,18.55%,1100930,104.68,131.17,2.12,-7.74%,-1.50%,-8.69%,11.10%,Transportation,US3021301094,789.592?K
EXPE,Expedia Group Inc,17961394000,17.11,7.64,797000000,1.86,N/A,0.00%,131.79,0,0.00%,4/5/2024,131.79,1.09,0.83%,8% Sell,42.63%,20.66%,2077170,87.94,160.05,34.82,-13.18%,-1.67%,-9.93%,44.05%,Consumer Services,US30212P3038,1.667?M
EXR,Extra Space Storage Inc,30964240000,17.8,4.94,803200000,0.74,7.49,5.12%,146.32,0,0.00%,4/5/2024,146.32,1.8,1.25%,88% Buy,53.55%,27.25%,1186400,101.19,165.85,-0.31,-8.74%,2.62%,-7.44%,-8.56%,Finance,US30225T1025,946.136?K
F,Ford Motor Company,52769844000,6.51,2.03,4347000000,1.63,0.78,5.87%,13.29,0.01,0.08%,4/5/2024,13.28,0.07,0.53%,88% Buy,59.32%,34.47%,50546410,9.63,15.42,10.91,8.94%,5.56%,12.07%,6.84%,Consumer Durables,US3453708600,46.937?M
FANG,Diamondback Energy,36438432000,11.16,18.01,3143000000,1.93,8.12,3.97%,205.27,0.95,0.46%,4/5/2024,204.32,3.27,1.63%,100% Buy,75.83%,11.59%,1411455,123.41,205.02,51.81,31.75%,13.47%,31.02%,42.90%,Energy Minerals,US25278X1090,1.52?M
FAST,Fastenal Company,43850208000,37.21,2.02,1155000000,1.05,1.82,2.38%,76.75,0.12,0.16%,4/5/2024,76.63,1.46,1.94%,96% Buy,60.16%,15.97%,3392995,50.3,79.04,48.84,18.31%,3.08%,23.64%,48.77%,Distribution Services,US3119001044,3.698?M
